phase,module,document_type,fieldname,label,fieldtype,permlevel,sensitivity_class,recommended_read_roles,recommended_write_roles,mask_recommended,ignore_user_permissions,notes
Phase 3,"Contract, Execution, Inspection & Financial Control",Defects Liability Review,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 3,"Contract, Execution, Inspection & Financial Control",Defects Liability Review,reference,Reference,Link / Data,0,Operational,All document readers,Owner role,No,No,Linkage.
Phase 3,"Contract, Execution, Inspection & Financial Control",Defects Liability Review,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 3,"Contract, Execution, Inspection & Financial Control",Defects Liability Review,internal_note,Internal Note,Long Text,1,Internal Control,Operational owner roles and Internal Auditor,Owner role,No,No,Internal comments.
Phase 3,"Contract, Execution, Inspection & Financial Control",Delivery Receipt,linked_document,Linked Document,Link,0,Operational,All document readers,Owner role / workflow actor,No,No,Base linkage.
Phase 3,"Contract, Execution, Inspection & Financial Control",Delivery Receipt,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 3,"Contract, Execution, Inspection & Financial Control",Delivery Receipt,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 3,"Contract, Execution, Inspection & Financial Control",Delivery Receipt,observation_note,Observation / Defect Note,Long Text,1,Internal Control,"Inspection & Acceptance Officer, Contract Manager, Internal Auditor",Inspection & Acceptance Officer,No,No,Inspection narrative.
Phase 3,"Contract, Execution, Inspection & Financial Control",Delivery Receipt,reason_or_remarks,Reason / Remarks,Long Text,1,Internal Control,Primary operational and audit readers,Owner role,No,No,Operational narrative.
Phase 3,"Contract, Execution, Inspection & Financial Control",Delivery Receipt,accepted_rejected_quantity,Accepted / Rejected Quantity,Float,2,Finance / Control,"Inspection & Acceptance Officer, Contract Manager, Finance/Budget Officer, Accounts Payable Officer, Accounting Officer / Approving Authority, Internal Auditor",Inspection & Acceptance Officer,No,No,Drives commercial consequence.
Phase 3,"Contract, Execution, Inspection & Financial Control",Delivery Receipt,financial_amount,Amount / Control Value,Currency,2,Finance / Control,"Finance/Budget Officer, Accounts Payable Officer, Accounting Officer / Approving Authority, Internal Auditor",Finance/Budget Officer / AP / owner role,No,No,Finance-sensitive.
Phase 3,"Contract, Execution, Inspection & Financial Control",Delivery Receipt,approval_or_override_note,Approval / Override Note,Long Text,4,Executive / Legal,"Accounting Officer / Approving Authority, Internal Auditor",Accounting Officer / Approving Authority,No,No,Executive signoff.
Phase 3,"Contract, Execution, Inspection & Financial Control",Delivery Receipt,forensic_ref,Forensic Ref,Data,5,Audit / System,Internal Auditor,System-generated only,No,No,Do not expose broadly.
Phase 2C,"Evaluation, Award & Challenge",Evaluation Committee,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 2C,"Evaluation, Award & Challenge",Evaluation Committee,reference,Reference,Link / Data,0,Operational,All document readers,Owner role,No,No,Linkage.
Phase 2C,"Evaluation, Award & Challenge",Evaluation Committee,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 2C,"Evaluation, Award & Challenge",Evaluation Committee,internal_note,Internal Note,Long Text,1,Internal Control,Operational owner roles and Internal Auditor,Owner role,No,No,Internal comments.
Phase 2C,"Evaluation, Award & Challenge",Evaluation Committee,committee_confidential,Committee Confidential Detail,Long Text,3,Committee Confidential,"Committee roles, Internal Auditor",Committee roles,No,No,Sensitive committee-only data.
Phase 2C,"Evaluation, Award & Challenge",Evaluation Consensus Record,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 2C,"Evaluation, Award & Challenge",Evaluation Consensus Record,reference,Reference,Link / Data,0,Operational,All document readers,Owner role,No,No,Linkage.
Phase 2C,"Evaluation, Award & Challenge",Evaluation Consensus Record,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 2C,"Evaluation, Award & Challenge",Evaluation Consensus Record,internal_note,Internal Note,Long Text,1,Internal Control,Operational owner roles and Internal Auditor,Owner role,No,No,Internal comments.
Phase 2C,"Evaluation, Award & Challenge",Evaluation Consensus Record,committee_confidential,Committee Confidential Detail,Long Text,3,Committee Confidential,"Committee roles, Internal Auditor",Committee roles,No,No,Sensitive committee-only data.
Phase 2C,"Evaluation, Award & Challenge",Evaluation Criterion Template,description,Description,Small Text,0,Operational,Readers of the master,Owner role,No,No,Non-sensitive descriptive field.
Phase 2C,"Evaluation, Award & Challenge",Evaluation Criterion Template,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 2C,"Evaluation, Award & Challenge",Evaluation Criterion Template,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 2C,"Evaluation, Award & Challenge",Evaluation Criterion Template,title_or_name,Title / Name,Data,0,Operational,Readers of the master,Owner role,No,No,Reference identity.
Phase 2C,"Evaluation, Award & Challenge",Evaluation Score Record,evaluation_stage,Evaluation Stage,Select,0,Operational,Committee readers,Evaluation Committee Member,No,No,Base stage.
Phase 2C,"Evaluation, Award & Challenge",Evaluation Score Record,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 2C,"Evaluation, Award & Challenge",Evaluation Score Record,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 2C,"Evaluation, Award & Challenge",Evaluation Score Record,criterion_comment,Criterion Comment,Long Text,1,Internal Control,"Evaluation Committee Member, Evaluation Committee Chair, Internal Auditor",Evaluation Committee Member,No,No,Evaluation reasoning.
Phase 2C,"Evaluation, Award & Challenge",Evaluation Score Record,score_or_result,Score / Result,Float / Select,3,Committee Confidential,"Evaluation Committee Member, Evaluation Committee Chair, Internal Auditor",Evaluation Committee Member,No,No,Keep at committee-confidential level.
Phase 2C,"Evaluation, Award & Challenge",Evaluation Score Record,chair_override_flag,Chair Override Flag,Check,4,Executive / Legal,"Evaluation Committee Chair, Internal Auditor",Evaluation Committee Chair,No,No,Should not be used casually.
Phase 2C,"Evaluation, Award & Challenge",Evaluation Score Record,integrity_hash,Integrity Hash,Data,5,Audit / System,Internal Auditor,System only,No,No,Forensic integrity.
Phase 2C,"Evaluation, Award & Challenge",Evaluation Worksheet,evaluation_stage,Evaluation Stage,Select,0,Operational,Committee readers,Evaluation Committee Member,No,No,Base stage.
Phase 2C,"Evaluation, Award & Challenge",Evaluation Worksheet,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 2C,"Evaluation, Award & Challenge",Evaluation Worksheet,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 2C,"Evaluation, Award & Challenge",Evaluation Worksheet,criterion_comment,Criterion Comment,Long Text,1,Internal Control,"Evaluation Committee Member, Evaluation Committee Chair, Internal Auditor",Evaluation Committee Member,No,No,Evaluation reasoning.
Phase 2C,"Evaluation, Award & Challenge",Evaluation Worksheet,score_or_result,Score / Result,Float / Select,3,Committee Confidential,"Evaluation Committee Member, Evaluation Committee Chair, Internal Auditor",Evaluation Committee Member,No,No,Keep at committee-confidential level.
Phase 2C,"Evaluation, Award & Challenge",Evaluation Worksheet,chair_override_flag,Chair Override Flag,Check,4,Executive / Legal,"Evaluation Committee Chair, Internal Auditor",Evaluation Committee Chair,No,No,Should not be used casually.
Phase 2C,"Evaluation, Award & Challenge",Evaluation Worksheet,integrity_hash,Integrity Hash,Data,5,Audit / System,Internal Auditor,System only,No,No,Forensic integrity.
Phase 2C,"Evaluation, Award & Challenge",Evaluator Declaration,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 2C,"Evaluation, Award & Challenge",Evaluator Declaration,reference,Reference,Link / Data,0,Operational,All document readers,Owner role,No,No,Linkage.
Phase 2C,"Evaluation, Award & Challenge",Evaluator Declaration,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 2C,"Evaluation, Award & Challenge",Evaluator Declaration,internal_note,Internal Note,Long Text,1,Internal Control,Operational owner roles and Internal Auditor,Owner role,No,No,Internal comments.
Phase 2C,"Evaluation, Award & Challenge",Evaluator Declaration,committee_confidential,Committee Confidential Detail,Long Text,3,Committee Confidential,"Committee roles, Internal Auditor",Committee roles,No,No,Sensitive committee-only data.
Phase 1,Planning & Budgeting,Exception Register Entry,linked_document,Linked Document,Link,0,Operational,All document readers,Owner role / workflow actor,No,No,Base linkage.
Phase 1,Planning & Budgeting,Exception Register Entry,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 1,Planning & Budgeting,Exception Register Entry,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 1,Planning & Budgeting,Exception Register Entry,reason_or_remarks,Reason / Remarks,Long Text,1,Internal Control,Primary operational and audit readers,Owner role,No,No,Operational narrative.
Phase 1,Planning & Budgeting,Exception Register Entry,financial_amount,Amount / Control Value,Currency,2,Finance / Control,"Finance/Budget Officer, Accounts Payable Officer, Accounting Officer / Approving Authority, Internal Auditor",Finance/Budget Officer / AP / owner role,No,No,Finance-sensitive.
Phase 1,Planning & Budgeting,Exception Register Entry,approval_or_override_note,Approval / Override Note,Long Text,4,Executive / Legal,"Accounting Officer / Approving Authority, Internal Auditor",Accounting Officer / Approving Authority,No,No,Executive signoff.
Phase 1,Planning & Budgeting,Exception Register Entry,forensic_ref,Forensic Ref,Data,5,Audit / System,Internal Auditor,System-generated only,No,No,Do not expose broadly.
Phase 3,"Contract, Execution, Inspection & Financial Control",Final Performance Review,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 3,"Contract, Execution, Inspection & Financial Control",Final Performance Review,reference,Reference,Link / Data,0,Operational,All document readers,Owner role,No,No,Linkage.
Phase 3,"Contract, Execution, Inspection & Financial Control",Final Performance Review,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 3,"Contract, Execution, Inspection & Financial Control",Final Performance Review,internal_note,Internal Note,Long Text,1,Internal Control,Operational owner roles and Internal Auditor,Owner role,No,No,Internal comments.
Phase 1,Planning & Budgeting,Funding Source,description,Description,Small Text,0,Operational,Readers of the master,Owner role,No,No,Non-sensitive descriptive field.
Phase 1,Planning & Budgeting,Funding Source,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 1,Planning & Budgeting,Funding Source,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 1,Planning & Budgeting,Funding Source,title_or_name,Title / Name,Data,0,Operational,Readers of the master,Owner role,No,No,Reference identity.
Phase 3,"Contract, Execution, Inspection & Financial Control",Inspection Report,linked_document,Linked Document,Link,0,Operational,All document readers,Owner role / workflow actor,No,No,Base linkage.
Phase 3,"Contract, Execution, Inspection & Financial Control",Inspection Report,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 3,"Contract, Execution, Inspection & Financial Control",Inspection Report,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 3,"Contract, Execution, Inspection & Financial Control",Inspection Report,observation_note,Observation / Defect Note,Long Text,1,Internal Control,"Inspection & Acceptance Officer, Contract Manager, Internal Auditor",Inspection & Acceptance Officer,No,No,Inspection narrative.
Phase 3,"Contract, Execution, Inspection & Financial Control",Inspection Report,reason_or_remarks,Reason / Remarks,Long Text,1,Internal Control,Primary operational and audit readers,Owner role,No,No,Operational narrative.
Phase 3,"Contract, Execution, Inspection & Financial Control",Inspection Report,accepted_rejected_quantity,Accepted / Rejected Quantity,Float,2,Finance / Control,"Inspection & Acceptance Officer, Contract Manager, Finance/Budget Officer, Accounts Payable Officer, Accounting Officer / Approving Authority, Internal Auditor",Inspection & Acceptance Officer,No,No,Drives commercial consequence.
Phase 3,"Contract, Execution, Inspection & Financial Control",Inspection Report,financial_amount,Amount / Control Value,Currency,2,Finance / Control,"Finance/Budget Officer, Accounts Payable Officer, Accounting Officer / Approving Authority, Internal Auditor",Finance/Budget Officer / AP / owner role,No,No,Finance-sensitive.
Phase 3,"Contract, Execution, Inspection & Financial Control",Inspection Report,approval_or_override_note,Approval / Override Note,Long Text,4,Executive / Legal,"Accounting Officer / Approving Authority, Internal Auditor",Accounting Officer / Approving Authority,No,No,Executive signoff.
Phase 3,"Contract, Execution, Inspection & Financial Control",Inspection Report,forensic_ref,Forensic Ref,Data,5,Audit / System,Internal Auditor,System-generated only,No,No,Do not expose broadly.
Phase 3,"Contract, Execution, Inspection & Financial Control",Invoice Control Record,linked_document,Linked Document,Link,0,Operational,All document readers,Owner role / workflow actor,No,No,Base linkage.
Phase 3,"Contract, Execution, Inspection & Financial Control",Invoice Control Record,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 3,"Contract, Execution, Inspection & Financial Control",Invoice Control Record,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 3,"Contract, Execution, Inspection & Financial Control",Invoice Control Record,reason_or_remarks,Reason / Remarks,Long Text,1,Internal Control,Primary operational and audit readers,Owner role,No,No,Operational narrative.
Phase 3,"Contract, Execution, Inspection & Financial Control",Invoice Control Record,financial_amount,Amount / Control Value,Currency,2,Finance / Control,"Finance/Budget Officer, Accounts Payable Officer, Accounting Officer / Approving Authority, Internal Auditor",Finance/Budget Officer / AP / owner role,No,No,Finance-sensitive.
Phase 3,"Contract, Execution, Inspection & Financial Control",Invoice Control Record,approval_or_override_note,Approval / Override Note,Long Text,4,Executive / Legal,"Accounting Officer / Approving Authority, Internal Auditor",Accounting Officer / Approving Authority,No,No,Executive signoff.
Phase 3,"Contract, Execution, Inspection & Financial Control",Invoice Control Record,forensic_ref,Forensic Ref,Data,5,Audit / System,Internal Auditor,System-generated only,No,No,Do not expose broadly.
Phase 1,Planning & Budgeting,National Development Plan,description,Description,Small Text,0,Operational,Readers of the master,Owner role,No,No,Non-sensitive descriptive field.
Phase 1,Planning & Budgeting,National Development Plan,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 1,Planning & Budgeting,National Development Plan,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 1,Planning & Budgeting,National Development Plan,title_or_name,Title / Name,Data,0,Operational,Readers of the master,Owner role,No,No,Reference identity.
Phase 1,Planning & Budgeting,National Development Priority,description,Description,Small Text,0,Operational,Readers of the master,Owner role,No,No,Non-sensitive descriptive field.
Phase 1,Planning & Budgeting,National Development Priority,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 1,Planning & Budgeting,National Development Priority,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 1,Planning & Budgeting,National Development Priority,title_or_name,Title / Name,Data,0,Operational,Readers of the master,Owner role,No,No,Reference identity.
Phase 3,"Contract, Execution, Inspection & Financial Control",Payment Certificate,linked_document,Linked Document,Link,0,Operational,All document readers,Owner role / workflow actor,No,No,Base linkage.
Phase 3,"Contract, Execution, Inspection & Financial Control",Payment Certificate,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 3,"Contract, Execution, Inspection & Financial Control",Payment Certificate,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 3,"Contract, Execution, Inspection & Financial Control",Payment Certificate,reason_or_remarks,Reason / Remarks,Long Text,1,Internal Control,Primary operational and audit readers,Owner role,No,No,Operational narrative.
Phase 3,"Contract, Execution, Inspection & Financial Control",Payment Certificate,financial_amount,Amount / Control Value,Currency,2,Finance / Control,"Finance/Budget Officer, Accounts Payable Officer, Accounting Officer / Approving Authority, Internal Auditor",Finance/Budget Officer / AP / owner role,No,No,Finance-sensitive.
Phase 3,"Contract, Execution, Inspection & Financial Control",Payment Certificate,approval_or_override_note,Approval / Override Note,Long Text,4,Executive / Legal,"Accounting Officer / Approving Authority, Internal Auditor",Accounting Officer / Approving Authority,No,No,Executive signoff.
Phase 3,"Contract, Execution, Inspection & Financial Control",Payment Certificate,forensic_ref,Forensic Ref,Data,5,Audit / System,Internal Auditor,System-generated only,No,No,Do not expose broadly.
Phase 2C,"Evaluation, Award & Challenge",Post Qualification Check,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 2C,"Evaluation, Award & Challenge",Post Qualification Check,reference,Reference,Link / Data,0,Operational,All document readers,Owner role,No,No,Linkage.
Phase 2C,"Evaluation, Award & Challenge",Post Qualification Check,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 2C,"Evaluation, Award & Challenge",Post Qualification Check,internal_note,Internal Note,Long Text,1,Internal Control,Operational owner roles and Internal Auditor,Owner role,No,No,Internal comments.
Phase 2C,"Evaluation, Award & Challenge",Post Qualification Check,amount_or_legal_exposure,Amount / Legal Exposure,Currency / Data,2,Finance / Legal,"Accounting Officer / Approving Authority, owner role, Internal Auditor",Owner role / Accounting Officer / Approving Authority,No,No,Restricted decision basis.
Phase 2C,"Evaluation, Award & Challenge",Post Qualification Check,executive_note,Executive Note,Long Text,4,Executive / Legal,"Accounting Officer / Approving Authority, Head of Procurement, Internal Auditor",Accounting Officer / Approving Authority,No,No,Decision rationale.
Phase 1,Planning & Budgeting,Procurement Plan,entity_or_company,Company / Entity,Link,0,Operational,All roles with document read,Owner role / workflow actor,No,No,Subject to user permission by Company.
Phase 1,Planning & Budgeting,Procurement Plan,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 1,Planning & Budgeting,Procurement Plan,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 1,Planning & Budgeting,Procurement Plan,subject_or_title,Title / Subject,Data,0,Operational,All roles with document read,Owner role / workflow actor,No,No,Operational heading.
Phase 1,Planning & Budgeting,Procurement Plan,revision_reason,Revision Reason,Long Text,1,Internal Control,"Procurement Planner, Head of Procurement, Internal Auditor",Procurement Planner,No,No,Revision narrative.
Phase 1,Planning & Budgeting,Procurement Plan,budget_reference,Budget Reference,Data,2,Finance / Control,"Finance/Budget Officer, Accounting Officer / Approving Authority, Internal Auditor",Finance/Budget Officer,No,No,Budget linkage.
Phase 1,Planning & Budgeting,Procurement Plan,total_reserved_amount,Total Reserved Amount,Currency,2,Finance / Control,"Finance/Budget Officer, Accounting Officer / Approving Authority, Internal Auditor",Finance/Budget Officer,No,No,Reserve/encumbrance related.
Phase 1,Planning & Budgeting,Procurement Plan,publish_hash,Publish Hash,Data,5,Audit / System,Internal Auditor,System-generated only,No,No,Immutable evidence.
Phase 1,Planning & Budgeting,Procurement Plan Item,entity_or_company,Company / Entity,Link,0,Operational,All roles with document read,Owner role / workflow actor,No,No,Subject to user permission by Company.
Phase 1,Planning & Budgeting,Procurement Plan Item,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 1,Planning & Budgeting,Procurement Plan Item,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 1,Planning & Budgeting,Procurement Plan Item,subject_or_title,Title / Subject,Data,0,Operational,All roles with document read,Owner role / workflow actor,No,No,Operational heading.
Phase 1,Planning & Budgeting,Procurement Plan Item,revision_reason,Revision Reason,Long Text,1,Internal Control,"Procurement Planner, Head of Procurement, Internal Auditor",Procurement Planner,No,No,Revision narrative.
Phase 1,Planning & Budgeting,Procurement Plan Item,budget_reference,Budget Reference,Data,2,Finance / Control,"Finance/Budget Officer, Accounting Officer / Approving Authority, Internal Auditor",Finance/Budget Officer,No,No,Budget linkage.
Phase 1,Planning & Budgeting,Procurement Plan Item,total_reserved_amount,Total Reserved Amount,Currency,2,Finance / Control,"Finance/Budget Officer, Accounting Officer / Approving Authority, Internal Auditor",Finance/Budget Officer,No,No,Reserve/encumbrance related.
Phase 1,Planning & Budgeting,Procurement Plan Item,publish_hash,Publish Hash,Data,5,Audit / System,Internal Auditor,System-generated only,No,No,Immutable evidence.
Phase 1,Planning & Budgeting,Procurement Plan Revision,entity_or_company,Company / Entity,Link,0,Operational,All roles with document read,Owner role / workflow actor,No,No,Subject to user permission by Company.
Phase 1,Planning & Budgeting,Procurement Plan Revision,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 1,Planning & Budgeting,Procurement Plan Revision,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 1,Planning & Budgeting,Procurement Plan Revision,subject_or_title,Title / Subject,Data,0,Operational,All roles with document read,Owner role / workflow actor,No,No,Operational heading.
Phase 1,Planning & Budgeting,Procurement Plan Revision,revision_reason,Revision Reason,Long Text,1,Internal Control,"Procurement Planner, Head of Procurement, Internal Auditor",Procurement Planner,No,No,Revision narrative.
Phase 1,Planning & Budgeting,Procurement Plan Revision,budget_reference,Budget Reference,Data,2,Finance / Control,"Finance/Budget Officer, Accounting Officer / Approving Authority, Internal Auditor",Finance/Budget Officer,No,No,Budget linkage.
Phase 1,Planning & Budgeting,Procurement Plan Revision,total_reserved_amount,Total Reserved Amount,Currency,2,Finance / Control,"Finance/Budget Officer, Accounting Officer / Approving Authority, Internal Auditor",Finance/Budget Officer,No,No,Reserve/encumbrance related.
Phase 1,Planning & Budgeting,Procurement Plan Revision,publish_hash,Publish Hash,Data,5,Audit / System,Internal Auditor,System-generated only,No,No,Immutable evidence.
Phase 1,Planning & Budgeting,Procurement Plan Snapshot,reference,Reference,Link / Data,0,Operational,All document readers,Owner role,No,No,Linkage.
Phase 1,Planning & Budgeting,Procurement Plan Snapshot,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 1,Planning & Budgeting,Procurement Plan Snapshot,internal_note,Internal Note,Long Text,1,Internal Control,Operational owner roles and Internal Auditor,Owner role,No,No,Internal comments.
Phase 1,Planning & Budgeting,Procurement Plan Snapshot,hash_or_lock_ref,Hash / Lock Ref,Data,5,Audit / System,Internal Auditor,System only,No,No,Immutable evidence.
Phase 1,Planning & Budgeting,Procurement Policy Profile,description,Description,Small Text,0,Operational,Readers of the master,Owner role,No,No,Non-sensitive descriptive field.
Phase 1,Planning & Budgeting,Procurement Policy Profile,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 1,Planning & Budgeting,Procurement Policy Profile,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 1,Planning & Budgeting,Procurement Policy Profile,title_or_name,Title / Name,Data,0,Operational,Readers of the master,Owner role,No,No,Reference identity.
Phase 1,Planning & Budgeting,Procurement Policy Profile,interpretation_note,Interpretation Note,Small Text,1,Internal Control,"Planning Authority, Head of Procurement, Internal Auditor",Planning Authority,No,No,Internal notes should not be broad-read.
Phase 1,Planning & Budgeting,Procurement Policy Profile,threshold_or_level,Threshold / Approval Level,Currency / Select,2,Finance / Control,"Planning Authority, Accounting Officer / Approving Authority, Internal Auditor",Planning Authority,No,No,Sensitive control values.
Phase 1,Planning & Budgeting,Procurement Risk Rule,description,Description,Small Text,0,Operational,Readers of the master,Owner role,No,No,Non-sensitive descriptive field.
Phase 1,Planning & Budgeting,Procurement Risk Rule,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 1,Planning & Budgeting,Procurement Risk Rule,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 1,Planning & Budgeting,Procurement Risk Rule,title_or_name,Title / Name,Data,0,Operational,Readers of the master,Owner role,No,No,Reference identity.
Phase 1,Planning & Budgeting,Procurement Risk Rule,interpretation_note,Interpretation Note,Small Text,1,Internal Control,"Planning Authority, Head of Procurement, Internal Auditor",Planning Authority,No,No,Internal notes should not be broad-read.
Phase 1,Planning & Budgeting,Procurement Risk Rule,threshold_or_level,Threshold / Approval Level,Currency / Select,2,Finance / Control,"Planning Authority, Accounting Officer / Approving Authority, Internal Auditor",Planning Authority,No,No,Sensitive control values.
Phase 1,Planning & Budgeting,Procurement Threshold Rule,description,Description,Small Text,0,Operational,Readers of the master,Owner role,No,No,Non-sensitive descriptive field.
Phase 1,Planning & Budgeting,Procurement Threshold Rule,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 1,Planning & Budgeting,Procurement Threshold Rule,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 1,Planning & Budgeting,Procurement Threshold Rule,title_or_name,Title / Name,Data,0,Operational,Readers of the master,Owner role,No,No,Reference identity.
Phase 1,Planning & Budgeting,Procurement Threshold Rule,interpretation_note,Interpretation Note,Small Text,1,Internal Control,"Planning Authority, Head of Procurement, Internal Auditor",Planning Authority,No,No,Internal notes should not be broad-read.
Phase 1,Planning & Budgeting,Procurement Threshold Rule,threshold_or_level,Threshold / Approval Level,Currency / Select,2,Finance / Control,"Planning Authority, Accounting Officer / Approving Authority, Internal Auditor",Planning Authority,No,No,Sensitive control values.
Phase 1,Planning & Budgeting,Published Plan Record,reference,Reference,Link / Data,0,Operational,All document readers,Owner role,No,No,Linkage.
Phase 1,Planning & Budgeting,Published Plan Record,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 1,Planning & Budgeting,Published Plan Record,internal_note,Internal Note,Long Text,1,Internal Control,Operational owner roles and Internal Auditor,Owner role,No,No,Internal comments.
Phase 1,Planning & Budgeting,Published Plan Record,hash_or_lock_ref,Hash / Lock Ref,Data,5,Audit / System,Internal Auditor,System only,No,No,Immutable evidence.
Phase 1.5,Purchase Requisition,Purchase Requisition,entity_or_company,Company / Entity,Link,0,Operational,All roles with document read,Owner role / workflow actor,No,No,Subject to user permission by Company.
Phase 1.5,Purchase Requisition,Purchase Requisition,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 1.5,Purchase Requisition,Purchase Requisition,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 1.5,Purchase Requisition,Purchase Requisition,subject_or_title,Title / Subject,Data,0,Operational,All roles with document read,Owner role / workflow actor,No,No,Operational heading.
